,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Total Offense,Total Offense,Total Offense,First Downs,First Downs,First Downs,First Downs,Penalties,Penalties,Turnovers,Turnovers,Turnovers
Rk,Date,,Opponent,Result,Cmp,Att,Pct,Yds,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,Pass,Rush,Pen,Tot,No.,Yds,Fum,Int,Tot
1,2024-08-31,,Idaho,W (24-14),41,50,82.0,380,2,37,107,2.9,1,87,487,5.6,24,7,0,31,8,60,1,0,1
2,2024-09-07,,Boise State,W (37-34),18,21,85.7,243,2,36,109,3.0,1,57,352,6.2,7,7,2,16,9,74,2,0,2
3,2024-09-14,@,Oregon State,W (49-14),23,27,85.2,306,2,32,240,7.5,4,59,546,9.3,15,9,2,26,3,36,0,0,0
4,2024-09-28,@,UCLA,W (34-13),31,42,73.8,278,3,36,153,4.3,1,78,431,5.5,15,8,4,27,6,49,0,1,1
5,2024-10-04,,Michigan State,W (31-10),21,34,61.8,264,2,37,213,5.8,2,71,477,6.7,13,10,2,25,5,35,0,2,2
6,2024-10-12,,Ohio State,W (32-31),23,34,67.6,341,2,31,155,5.0,2,65,496,7.6,9,8,1,18,3,25,0,0,0
7,2024-10-18,@,Purdue,W (35-0),21,25,84.0,290,2,35,131,3.7,3,60,421,7.0,15,9,1,25,4,25,0,1,1
8,2024-10-26,,Illinois,W (38-9),20,28,71.4,298,3,39,229,5.9,2,67,527,7.9,13,14,0,27,3,30,0,1,1
9,2024-11-02,@,Michigan,W (38-17),22,34,64.7,294,1,37,176,4.8,4,71,470,6.6,12,9,2,23,2,10,1,0,1
10,2024-11-09,,Maryland,W (39-18),23,34,67.6,183,3,31,180,5.8,1,65,363,5.6,7,9,3,19,12,95,0,0,0
11,2024-11-16,@,Wisconsin,W (16-13),22,31,71.0,218,0,40,136,3.4,1,71,354,5.0,9,10,0,19,7,55,0,1,1
,11 Games,,,,265,360,73.6,3095,22,391,1829,4.7,22,751,4924,6.6,139,100,17,256,62,494,4,6,10
